timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 87,Above 90,Above 92,Above 95,Above 97
2025-07-04T00:00:00Z,73.20,65.41,,,37.53,,,,6.00,,,
2025-07-05T00:00:00Z,85.45,62.62,,,32.25,,,,6.00,,,
2025-07-06T00:00:00Z,85.45,67.08,,,38.23,,,,6.00,,,
2025-07-07T00:00:00Z,77.90,65.40,,,40.43,,,,6.00,,,
2025-07-08T00:00:00Z,87.00,68.68,,,39.75,,,,6.00,,,
2025-07-09T00:00:00Z,78.27,68.38,,,37.65,,,,8.00,,,
2025-07-10T00:00:00Z,78.84,63.12,,,35.16,,,,8.00,,,
2025-07-11T00:00:00Z,76.87,59.97,,,35.20,,,,8.00,,,
2025-07-12T00:00:00Z,70.09,55.57,,,33.48,,,,8.00,,,
2025-07-13T00:00:00Z,77.23,58.62,,,35.51,,,,7.00,,,
2025-07-14T00:00:00Z,77.23,58.62,,,31.68,,,,7.00,,,
2025-07-15T00:00:00Z,79.62,57.38,,,35.61,,,,8.00,,,
2025-07-16T00:00:00Z,77.02,57.08,,,36.00,,,,8.00,,,
2025-07-17T00:00:00Z,84.59,61.51,,,39.09,,,,8.05,,,
2025-07-18T00:00:00Z,91.52,77.85,,,47.87,,,,11.98,,,
2025-07-19T00:00:00Z,92.38,82.92,,,47.27,,,,8.92,,,
2025-07-20T00:00:00Z,92.00,88.00,,,49.38,,,,8.92,,,
2025-07-21T00:00:00Z,92.41,81.04,,,43.08,,,,7.42,,,
2025-07-22T00:00:00Z,91.23,80.86,,,40.57,,,,6.07,,,
2025-07-23T00:00:00Z,91.23,78.12,,,38.29,,,,6.07,,,
2025-07-24T00:00:00Z,92.58,83.28,,,51.48,,,,12.98,,,
2025-07-25T00:00:00Z,95.36,84.05,,,52.05,,,,5.31,,,
2025-07-26T00:00:00Z,93.46,78.47,67.39,52.15,43.16,35.13,18.55,,11.47,,,
2025-07-27T00:00:00Z,93.46,81.85,68.28,56.19,47.76,34.96,14.31,,10.84,,,
2025-07-28T00:00:00Z,95.07,85.12,73.53,65.22,55.99,31.62,18.52,,9.10,,,
2025-07-29T00:00:00Z,93.94,91.30,89.76,71.87,75.92,39.22,30.91,,15.06,,,
2025-07-30T00:00:00Z,98.00,98.48,96.46,96.15,92.52,87.55,69.64,61.82,41.78,24.57,5.42,1.03
2025-07-31T00:00:00Z,99.00,99.00,98.74,98.34,97.30,96.55,89.57,78.59,44.63,8.20,7.50,2.70
2025-08-01T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,96.33,85.77,34.10,3.10,1.00,1.00
2025-08-02T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.04,89.06,12.94,1.00,1.00,1.00
2025-08-03T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.15,25.33,1.00,1.00,1.00
2025-08-04T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,61.07,1.00,1.00,1.00
