timestamp,Above 45,Above 50,Above 55,Above 60,Above 63,Above 65,Above 67,Above 70,Above 72,Above 75,Above 80,Above 85,Above 90
2025-08-01T00:00:00Z,97.65,,,80.62,,,,,,50.83,,,17.53
2025-08-02T00:00:00Z,99.00,,,84.96,,,,,,53.67,,,19.00
2025-08-03T00:00:00Z,89.85,,,86.02,,,,,,57.52,,,13.74
2025-08-04T00:00:00Z,89.85,,,86.02,,,,,,58.36,,,13.74
2025-08-05T00:00:00Z,89.85,,,87.00,,,,,,52.00,,,16.00
2025-08-06T00:00:00Z,89.85,,,86.00,,,,,,58.86,,,16.00
2025-08-07T00:00:00Z,95.00,,,88.42,,,,,,60.80,,,16.00
2025-08-08T00:00:00Z,95.00,,,87.00,,,,,,61.34,,,14.59
2025-08-09T00:00:00Z,95.00,,,86.47,,,,,,58.69,,,14.59
2025-08-10T00:00:00Z,95.00,,,90.05,,,,,,60.00,,,14.59
2025-08-11T00:00:00Z,93.00,,,86.00,,,,,,59.94,,,16.04
2025-08-12T00:00:00Z,93.00,,,86.00,,,,,,62.96,42.83,31.11,16.00
2025-08-13T00:00:00Z,93.13,,,86.00,,,,,,63.32,51.68,28.38,15.00
2025-08-14T00:00:00Z,93.13,,,83.14,,,,,,56.85,42.61,28.00,15.00
2025-08-15T00:00:00Z,92.80,,,79.87,,,,,,54.02,40.82,28.00,15.15
2025-08-16T00:00:00Z,92.80,,,88.00,,,,,,65.04,46.66,31.00,25.51
2025-08-17T00:00:00Z,92.80,,,88.00,,,,,,60.06,50.46,28.60,15.47
2025-08-18T00:00:00Z,92.80,,,87.85,,,,,,65.58,51.25,28.00,12.94
2025-08-19T00:00:00Z,92.80,,,91.71,,,,,,62.62,44.51,25.55,10.46
2025-08-20T00:00:00Z,92.80,,,91.90,,,,,,61.76,42.45,22.62,7.55
2025-08-21T00:00:00Z,97.00,,,90.80,,,,,,63.72,43.27,22.00,7.00
2025-08-22T00:00:00Z,97.00,,,90.80,,,,,,66.60,48.08,21.70,8.68
2025-08-23T00:00:00Z,97.00,,,93.78,,,,,,73.80,45.16,16.97,2.39
2025-08-24T00:00:00Z,99.00,,,92.00,,,,,,69.34,38.18,12.82,2.00
2025-08-25T00:00:00Z,99.00,,,92.65,,,,,,66.33,38.78,13.33,3.00
2025-08-26T00:00:00Z,98.00,97.92,92.00,81.79,,49.25,32.27,12.96,8.65,20.09,13.37,1.48,1.35
2025-08-27T00:00:00Z,98.00,97.92,95.98,85.84,,45.13,25.76,9.05,5.68,2.13,1.00,1.00,1.35
2025-08-28T00:00:00Z,99.00,97.92,97.66,88.24,48.96,31.69,18.08,4.96,1.82,1.00,1.00,1.00,1.35
2025-08-29T00:00:00Z,99.00,97.92,99.00,85.31,32.63,16.73,9.05,3.09,1.00,1.00,1.00,1.00,1.35
2025-08-30T00:00:00Z,99.00,97.92,98.85,89.27,36.01,8.67,3.59,1.00,1.00,1.00,1.00,1.00,1.35
2025-08-31T00:00:00Z,99.00,97.92,98.85,97.52,52.22,15.00,1.21,1.00,1.00,1.00,1.00,1.00,1.35
2025-09-01T00:00:00Z,99.00,97.92,98.85,97.52,94.42,16.23,1.00,1.00,1.00,1.00,1.00,1.00,1.35
