timestamp,Above 45,Above 55,Above 57,Above 60,Above 62,Above 65,Above 67,Above 70,Above 75,Above 80,Above 85,Above 90
2025-10-01T00:00:00Z,,,,89.81,,,,,76.12,,,26.24
2025-10-02T00:00:00Z,,,,89.48,,,,,70.48,,,29.48
2025-10-03T00:00:00Z,,,,90.03,,,,,70.84,,,22.36
2025-10-04T00:00:00Z,95.48,,,92.42,,,,,68.60,,,20.78
2025-10-05T00:00:00Z,95.48,,,92.42,,,,,68.84,,,19.00
2025-10-06T00:00:00Z,95.00,,,88.35,,,,,68.14,,,18.07
2025-10-07T00:00:00Z,95.00,,,91.78,,,,,71.53,,,25.68
2025-10-08T00:00:00Z,95.00,,,89.85,,,,,69.96,,,27.02
2025-10-09T00:00:00Z,95.00,,,89.85,,,,,67.69,,,19.28
2025-10-10T00:00:00Z,95.00,,,89.85,,,,,68.14,,,20.97
2025-10-11T00:00:00Z,95.00,,,90.00,,,,,70.82,,,19.97
2025-10-12T00:00:00Z,95.00,,,90.00,,,,,74.60,,,26.00
2025-10-13T00:00:00Z,95.00,,,92.00,,,,,67.91,,,21.54
2025-10-14T00:00:00Z,95.00,,,89.15,,,,,70.60,,,26.00
2025-10-15T00:00:00Z,95.00,,,93.38,,,,,71.91,,,18.69
2025-10-16T00:00:00Z,95.00,,,93.38,,,,,68.96,,,22.67
2025-10-17T00:00:00Z,95.00,,,93.38,,,,,74.52,,,22.67
2025-10-18T00:00:00Z,95.00,,,93.81,,,,,75.64,,,22.67
2025-10-19T00:00:00Z,95.00,,,92.66,,,,,69.50,,,22.32
2025-10-20T00:00:00Z,95.00,,,95.00,,,,,69.39,,,19.54
2025-10-21T00:00:00Z,95.00,,,92.30,,,,,70.09,,,21.23
2025-10-22T00:00:00Z,95.00,,,91.38,,,,,78.12,,,18.52
2025-10-23T00:00:00Z,95.00,,,93.25,,,,,71.85,,,18.52
2025-10-24T00:00:00Z,95.00,,,94.20,,,,,82.27,,,25.27
2025-10-25T00:00:00Z,95.00,,,92.88,,,,,76.85,,,24.42
2025-10-26T00:00:00Z,95.00,,,92.00,,,,,78.73,,,21.00
2025-10-27T00:00:00Z,95.00,,,92.00,,,,,77.08,,,22.00
2025-10-28T00:00:00Z,95.00,,,92.00,,,,,77.50,,,22.68
2025-10-29T00:00:00Z,95.00,,,92.00,,,,,77.55,,,27.40
2025-10-30T00:00:00Z,95.00,,,93.12,,,,,75.11,64.39,44.00,25.70
2025-10-31T00:00:00Z,95.00,,,93.12,,89.00,,,76.74,67.90,44.77,27.26
2025-11-01T00:00:00Z,97.35,,,93.20,,89.00,,89.00,77.52,62.33,43.27,25.32
2025-11-02T00:00:00Z,97.35,,,96.72,,94.22,,88.31,77.92,66.66,43.23,27.45
2025-11-03T00:00:00Z,97.35,,,97.84,,94.22,,88.31,77.92,66.66,43.23,27.45
2025-11-04T00:00:00Z,97.35,,,94.00,,96.00,,91.00,75.93,61.80,42.91,26.68
2025-11-05T00:00:00Z,97.35,,,94.00,,95.87,,88.92,75.94,64.78,45.02,27.23
2025-11-06T00:00:00Z,97.35,,,94.00,,95.47,,88.92,80.94,68.01,45.42,25.59
2025-11-07T00:00:00Z,97.35,,,97.00,,94.00,,90.59,83.44,68.63,45.54,18.83
2025-11-08T00:00:00Z,97.35,,,97.00,,94.00,,95.15,85.04,70.00,39.61,13.22
2025-11-09T00:00:00Z,97.35,,,97.00,,96.00,,96.91,87.43,70.75,47.02,14.89
2025-11-10T00:00:00Z,97.35,,,97.00,,96.00,,96.91,91.52,75.92,40.65,10.71
2025-11-11T00:00:00Z,97.35,,,98.97,,96.68,,90.08,76.97,60.48,37.67,9.10
2025-11-12T00:00:00Z,99.00,91.69,82.78,79.51,39.80,50.56,4.61,30.62,22.70,12.40,6.80,2.55
2025-11-13T00:00:00Z,99.00,96.22,89.94,82.32,49.81,22.08,9.56,4.68,2.25,1.00,1.00,1.00
2025-11-14T00:00:00Z,99.00,98.18,96.40,91.40,64.46,23.42,5.91,2.48,1.09,1.00,1.00,1.00
2025-11-15T00:00:00Z,99.00,98.18,98.23,90.79,69.55,11.35,5.20,1.59,1.00,1.00,1.00,1.00
2025-11-16T00:00:00Z,99.00,98.18,99.00,98.30,92.23,7.68,1.47,1.00,1.00,1.00,1.00,1.00
2025-11-17T00:00:00Z,99.00,99.00,99.00,99.00,96.94,4.74,1.00,1.00,1.00,1.00,1.00,1.00
