timestamp,Above 32,Above 35,Above 37,Above 40,Above 42,Above 45,Above 47,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90,Above 95
2026-03-04T00:00:00Z,,,,,,76.00,,66.00,56.38,45.78,33.92,17.00,18.00,12.00,7.09,6.90,6.53
2026-03-05T00:00:00Z,,,,,,79.00,,67.00,60.00,47.64,30.45,24.50,17.00,11.00,7.09,5.00,3.20
2026-03-06T00:00:00Z,,,,,,79.00,,70.75,61.56,52.75,43.61,24.49,16.89,19.47,7.00,5.74,3.00
2026-03-07T00:00:00Z,,,,,,80.00,,70.75,65.15,54.45,44.14,31.11,20.22,11.32,3.66,3.00,3.00
2026-03-08T00:00:00Z,,,,,,84.00,,77.00,66.40,55.79,46.00,29.16,26.00,10.05,3.23,3.00,3.00
2026-03-09T00:00:00Z,,,,,,93.22,,77.00,65.35,54.38,47.64,44.58,27.64,39.22,14.82,8.48,3.00
2026-03-10T00:00:00Z,,,,,,93.22,,77.00,60.76,67.46,65.47,46.90,33.22,14.18,14.82,5.34,3.00
2026-03-11T00:00:00Z,,,,,,93.22,,77.00,60.76,70.37,59.22,48.26,36.00,20.00,11.08,5.53,3.00
2026-03-12T00:00:00Z,,,,,,87.00,,77.00,79.00,69.97,63.00,50.48,36.00,20.00,11.08,6.33,3.00
2026-03-13T00:00:00Z,,,,,,93.00,,77.00,81.00,68.68,56.12,42.52,30.03,19.59,11.00,7.00,3.00
2026-03-14T00:00:00Z,,,,,,93.00,,86.95,81.00,68.68,53.98,41.97,26.00,19.59,10.28,7.00,3.00
2026-03-15T00:00:00Z,,,,,,93.00,,86.25,76.31,63.63,54.41,37.18,24.22,14.00,11.00,2.00,3.00
2026-03-16T00:00:00Z,,,,,,92.00,,86.25,78.60,66.09,51.64,41.44,27.06,18.84,9.94,6.00,3.00
2026-03-17T00:00:00Z,,,,,,92.20,,86.25,73.88,64.77,49.75,34.83,20.59,17.93,6.39,2.00,3.00
2026-03-18T00:00:00Z,,,,,,92.64,,85.00,74.00,59.89,48.93,33.29,19.43,17.48,8.11,4.00,3.00
2026-03-19T00:00:00Z,,,,,,92.64,,85.00,74.00,64.73,46.83,34.68,19.52,17.32,7.24,6.72,4.35
2026-03-20T00:00:00Z,,,,,,91.40,,85.00,74.00,62.02,46.08,31.58,23.70,14.92,7.41,8.00,1.00
2026-03-21T00:00:00Z,,,,,,91.40,,85.00,72.00,61.34,45.20,31.43,24.27,15.06,8.00,1.00,1.00
2026-03-22T00:00:00Z,,,,,,91.40,,87.00,72.15,62.93,50.19,30.11,25.11,17.07,7.08,4.00,1.00
2026-03-23T00:00:00Z,,,,,,92.90,,89.07,76.58,65.41,49.48,31.54,22.43,13.11,6.71,7.80,1.00
2026-03-24T00:00:00Z,,,,,,91.88,,83.00,76.22,64.56,39.20,34.27,21.18,14.43,7.89,3.97,1.00
2026-03-25T00:00:00Z,,,,,,93.00,,85.35,72.83,62.44,44.27,29.48,21.88,13.56,6.22,5.42,1.00
2026-03-26T00:00:00Z,,,,,,92.96,,84.75,73.70,58.30,44.02,30.46,21.88,14.57,5.98,3.84,1.00
2026-03-27T00:00:00Z,,,,,,88.96,,77.90,63.92,48.09,38.78,25.52,19.79,11.22,5.22,2.63,1.27
2026-03-28T00:00:00Z,,,,,,82.81,,73.00,56.85,44.82,31.33,20.87,12.76,9.44,7.15,3.98,1.27
2026-03-29T00:00:00Z,,,,,,86.00,,73.41,60.14,43.99,32.08,19.92,14.33,9.00,7.22,3.09,2.23
2026-03-30T00:00:00Z,,,,,,82.89,,64.80,55.67,34.57,29.19,17.94,15.21,12.96,6.75,5.93,2.00
2026-03-31T00:00:00Z,,,,,,84.07,,73.27,56.24,41.19,29.41,14.01,7.84,6.52,2.44,2.48,1.06
2026-04-01T00:00:00Z,,93.23,,70.03,47.98,41.64,18.62,23.46,19.45,7.35,3.76,3.94,2.48,1.48,1.00,1.00,1.00
2026-04-02T00:00:00Z,,93.34,,84.48,64.05,34.13,17.98,2.94,1.07,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2026-04-03T00:00:00Z,97.00,92.78,96.41,70.71,37.82,13.79,4.22,1.04,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2026-04-04T00:00:00Z,97.00,98.30,90.18,35.20,11.52,1.70,1.12,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2026-04-05T00:00:00Z,99.00,98.92,98.86,73.47,18.35,1.09,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2026-04-06T00:00:00Z,99.00,99.00,99.00,90.45,13.36,1.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
