timestamp,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2024-05-23T00:00:00Z,,,,,,,,,82.01,,,,,,53.19,15.00
2024-05-24T00:00:00Z,,,,,,,,,81.08,,,72.00,,,44.12,15.00
2024-05-25T00:00:00Z,,,,,,,,,77.52,,,62.61,,,41.79,8.00
2024-05-26T00:00:00Z,,,,,,,,,77.52,,,56.41,,,38.00,10.00
2024-05-27T00:00:00Z,,,,,,,,,75.00,,,53.00,,,38.00,10.00
2024-05-28T00:00:00Z,,,,,,,,,77.00,,,52.42,,,29.89,5.62
2024-05-29T00:00:00Z,,,,,,,,,77.00,,,53.00,,,29.71,5.62
2024-05-30T00:00:00Z,,,,,,,,,73.19,,,49.08,,,29.71,5.62
2024-05-31T00:00:00Z,,,,,,,,,75.00,,,51.64,,,24.00,5.62
2024-06-01T00:00:00Z,,,,,,,,,76.00,,,52.30,43.00,,26.25,3.23
2024-06-02T00:00:00Z,,,,,,,,,79.43,62.67,52.62,44.23,33.63,16.86,15.14,3.23
2024-06-03T00:00:00Z,,,,,,,,,76.36,60.48,45.68,42.05,26.26,19.50,10.04,3.07
2024-06-04T00:00:00Z,,,,96.50,,92.31,88.86,77.77,71.16,59.64,43.75,30.53,22.18,11.80,8.68,2.49
2024-06-05T00:00:00Z,98.00,98.00,98.00,96.50,,92.31,90.00,80.57,65.01,49.27,36.56,26.17,20.00,12.76,8.68,1.07
2024-06-06T00:00:00Z,98.00,98.00,98.00,96.50,95.75,93.00,92.26,84.00,69.99,54.22,39.39,27.16,14.04,9.29,5.25,1.50
2024-06-07T00:00:00Z,98.00,98.00,98.00,93.42,81.56,56.59,43.80,31.22,19.84,21.56,16.70,3.63,1.86,3.00,1.02,1.50
2024-06-08T00:00:00Z,98.00,98.00,98.00,97.31,79.48,29.41,5.90,1.49,1.00,2.12,16.70,3.63,1.86,3.00,1.02,1.50
2024-06-09T00:00:00Z,98.00,98.00,98.00,97.31,99.00,24.58,6.34,1.49,1.00,2.12,16.70,3.63,1.86,3.00,1.02,1.50
2024-06-10T00:00:00Z,98.00,98.00,98.00,97.31,99.00,7.74,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
