timestamp,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2024-05-22T15:00:00Z,,,,,,,,,,,,,,,62.00,15.00
2024-05-22T16:00:00Z,,,,,,,,,,,,,,,57.71,15.00
2024-05-22T17:00:00Z,,,,,,,,,,,,,,,57.71,15.00
2024-05-22T18:00:00Z,,,,,,,,,,,,,,,65.00,15.00
2024-05-22T19:00:00Z,,,,,,,,,84.00,,,,,,51.99,15.00
2024-05-22T20:00:00Z,,,,,,,,,82.00,,,,,,44.00,15.00
2024-05-23T03:00:00Z,,,,,,,,,82.00,,,,,,44.00,15.00
2024-05-23T04:00:00Z,,,,,,,,,82.00,,,,,,51.00,15.00
2024-05-23T13:00:00Z,,,,,,,,,82.00,,,,,,47.00,15.00
2024-05-23T16:00:00Z,,,,,,,,,81.00,,,,,,43.00,15.00
2024-05-23T22:00:00Z,,,,,,,,,81.00,,,72.00,,,43.00,15.00
2024-05-24T02:00:00Z,,,,,,,,,82.00,,,72.00,,,43.00,15.00
2024-05-24T15:00:00Z,,,,,,,,,82.00,,,72.00,,,48.00,15.00
2024-05-24T16:00:00Z,,,,,,,,,82.00,,,72.00,,,41.41,15.00
2024-05-24T19:00:00Z,,,,,,,,,82.00,,,72.00,,,48.00,15.00
2024-05-24T21:00:00Z,,,,,,,,,77.52,,,64.03,,,41.05,15.00
2024-05-24T22:00:00Z,,,,,,,,,77.52,,,64.03,,,41.05,8.00
2024-05-24T23:00:00Z,,,,,,,,,77.52,,,59.00,,,41.05,8.00
2024-05-25T16:00:00Z,,,,,,,,,77.52,,,59.00,,,38.00,8.00
2024-05-25T17:00:00Z,,,,,,,,,77.52,,,56.00,,,38.00,8.00
2024-05-25T19:00:00Z,,,,,,,,,77.52,,,56.00,,,38.00,10.00
2024-05-25T22:00:00Z,,,,,,,,,77.52,,,58.16,,,38.00,10.00
2024-05-26T17:00:00Z,,,,,,,,,75.00,,,58.16,,,38.00,10.00
2024-05-27T02:00:00Z,,,,,,,,,75.00,,,53.00,,,38.00,10.00
2024-05-27T15:00:00Z,,,,,,,,,75.00,,,57.23,,,32.00,10.00
2024-05-27T17:00:00Z,,,,,,,,,75.00,,,52.27,,,32.00,5.62
2024-05-27T19:00:00Z,,,,,,,,,77.00,,,52.27,,,32.00,5.62
2024-05-27T21:00:00Z,,,,,,,,,77.00,,,52.27,,,32.00,5.62
2024-05-28T04:00:00Z,,,,,,,,,77.00,,,52.27,,,29.61,5.62
2024-05-28T16:00:00Z,,,,,,,,,77.00,,,52.27,,,34.00,5.62
2024-05-28T17:00:00Z,,,,,,,,,77.00,,,52.27,,,29.00,5.62
2024-05-28T21:00:00Z,,,,,,,,,77.00,,,52.27,,,29.57,5.62
2024-05-29T01:00:00Z,,,,,,,,,77.00,,,53.00,,,29.57,5.62
2024-05-29T14:00:00Z,,,,,,,,,74.00,,,53.00,,,29.57,5.62
2024-05-29T18:00:00Z,,,,,,,,,74.00,,,49.35,,,29.57,5.62
2024-05-30T04:00:00Z,,,,,,,,,72.00,,,49.00,,,29.57,5.62
2024-05-30T15:00:00Z,,,,,,,,,72.00,,,49.00,,,24.00,5.62
2024-05-30T16:00:00Z,,,,,,,,,75.00,,,49.00,,,24.00,5.62
2024-05-30T20:00:00Z,,,,,,,,,75.00,,,49.00,,,24.00,5.62
2024-05-30T21:00:00Z,,,,,,,,,75.00,,,51.64,,,24.00,5.62
2024-05-31T13:00:00Z,,,,,,,,,75.00,,,51.64,,,24.00,3.23
2024-05-31T14:00:00Z,,,,,,,,,76.00,,,54.00,,,25.00,3.23
2024-05-31T18:00:00Z,,,,,,,,,76.00,,,54.00,,,25.00,3.23
2024-05-31T19:00:00Z,,,,,,,,,76.00,,,52.00,,,25.00,3.23
2024-05-31T20:00:00Z,,,,,,,,,76.00,,,53.00,,,28.00,3.23
2024-05-31T22:00:00Z,,,,,,,,,76.00,,,52.00,,,28.00,3.23
2024-05-31T23:00:00Z,,,,,,,,,76.00,,,52.00,43.00,,28.00,3.23
2024-06-01T00:00:00Z,,,,,,,,,76.00,,,52.36,43.00,,28.00,3.23
2024-06-01T01:00:00Z,,,,,,,,,76.00,,,47.00,43.00,,28.00,3.23
2024-06-01T02:00:00Z,,,,,,,,,76.00,,,54.00,43.00,,28.00,3.23
2024-06-01T13:00:00Z,,,,,,,,,72.00,,,45.00,43.00,,28.00,3.23
2024-06-01T14:00:00Z,,,,,,,,,72.00,62.00,43.50,41.00,43.00,16.34,15.14,3.23
2024-06-01T15:00:00Z,,,,,,,,,72.00,62.00,45.00,34.66,43.00,16.34,15.14,3.23
2024-06-01T16:00:00Z,,,,,,,,,75.00,62.00,47.00,34.66,43.00,16.34,15.14,3.23
2024-06-01T17:00:00Z,,,,,,,,,76.00,65.00,47.00,34.66,43.00,16.34,15.14,3.23
2024-06-01T18:00:00Z,,,,,,,,,76.00,65.00,55.75,48.00,31.00,16.34,15.14,3.23
2024-06-01T19:00:00Z,,,,,,,,,81.00,65.00,62.25,48.33,35.00,16.34,15.14,3.23
2024-06-01T20:00:00Z,,,,,,,,,81.00,65.00,62.25,47.92,35.00,16.34,15.14,3.23
2024-06-01T21:00:00Z,,,,,,,,,85.00,65.00,62.25,47.92,35.00,19.00,15.14,3.23
2024-06-01T23:00:00Z,,,,,,,,,85.00,65.00,62.25,43.95,35.00,19.00,15.14,3.23
2024-06-02T00:00:00Z,,,,,,,,,85.00,65.00,64.00,43.95,35.00,19.00,15.14,3.23
2024-06-02T01:00:00Z,,,,,,,,,85.00,65.00,66.00,48.00,35.00,19.00,15.14,3.23
2024-06-02T13:00:00Z,,,,,,,,,85.00,74.00,62.00,46.00,35.00,19.00,15.14,3.23
2024-06-02T14:00:00Z,,,,,,,,,85.00,74.00,62.00,46.00,35.00,19.00,15.14,3.23
2024-06-02T15:00:00Z,,,,,,,,,81.21,74.00,62.00,46.00,35.00,19.00,15.14,3.23
2024-06-02T17:00:00Z,,,,,,,,,79.44,74.00,59.00,44.06,35.00,19.00,15.14,3.23
2024-06-02T18:00:00Z,,,,,,,,,79.44,74.00,59.00,39.00,35.00,19.00,15.14,3.23
2024-06-02T20:00:00Z,,,,,,,,,79.44,74.00,59.00,39.00,35.00,19.00,15.14,3.07
2024-06-02T21:00:00Z,,,,,,,,,77.20,65.81,57.36,39.00,35.00,19.00,15.14,3.07
2024-06-02T22:00:00Z,,,,,,,,,76.00,64.00,56.62,38.00,35.00,19.00,15.14,3.07
2024-06-02T23:00:00Z,,,,,,,,,76.00,64.00,56.50,38.00,29.90,19.00,15.14,3.07
2024-06-03T01:00:00Z,,,,,,,,,76.00,64.00,56.50,39.00,29.90,20.00,14.97,3.07
2024-06-03T02:00:00Z,,,,,,,,,76.00,64.00,57.00,41.89,29.90,20.00,14.97,3.07
2024-06-03T03:00:00Z,,,,,,,,,72.56,54.00,43.53,35.00,21.25,20.00,8.69,3.07
2024-06-03T04:00:00Z,,,,,,,,,65.79,59.14,37.59,35.00,21.25,20.00,6.97,3.07
2024-06-03T13:00:00Z,,,,,,,,,64.00,59.14,47.01,35.00,21.25,20.00,10.00,3.07
2024-06-03T14:00:00Z,,,,96.00,,,,73.43,71.23,59.14,47.17,30.49,22.16,20.00,9.00,3.07
2024-06-03T15:00:00Z,,,,96.00,,92.00,,73.43,71.23,60.00,48.00,30.49,22.16,20.00,8.00,3.00
2024-06-03T16:00:00Z,,,,97.00,,92.00,,79.00,71.23,60.00,48.00,30.49,22.16,20.00,8.00,3.00
2024-06-03T17:00:00Z,,,,97.00,,92.00,,80.00,72.92,60.00,48.00,30.49,20.00,9.00,7.00,2.00
2024-06-03T18:00:00Z,,,,97.00,,92.53,,80.00,72.92,60.02,48.00,30.49,20.00,9.00,7.00,2.00
2024-06-03T19:00:00Z,,,,97.00,,92.53,88.00,80.00,70.90,62.00,47.00,36.00,20.00,12.00,7.00,2.00
2024-06-03T20:00:00Z,,,,97.00,,92.53,88.00,81.00,70.90,62.00,48.00,36.00,20.00,12.00,7.00,2.00
2024-06-03T21:00:00Z,,,,97.00,,92.53,89.04,81.00,66.50,61.00,42.28,33.37,24.18,12.17,8.00,2.00
2024-06-03T22:00:00Z,,,,97.00,,92.53,89.04,81.00,66.50,61.00,42.28,28.00,24.18,12.17,9.06,2.00
2024-06-03T23:00:00Z,,,,97.00,,92.53,89.04,81.00,68.00,61.00,42.28,28.00,24.18,12.17,9.06,2.00
2024-06-04T00:00:00Z,,,,97.00,,92.53,89.04,81.00,68.00,61.00,42.28,28.00,24.18,11.00,6.00,2.00
2024-06-04T02:00:00Z,,,,97.00,,92.53,89.04,81.00,68.00,55.07,42.28,28.00,24.18,11.00,6.00,2.00
2024-06-04T03:00:00Z,,,,97.00,,92.53,90.00,81.00,71.17,55.07,40.00,28.00,24.18,11.00,6.00,2.00
2024-06-04T14:00:00Z,,,,97.00,,92.53,90.00,81.00,65.00,53.00,38.00,27.00,20.00,11.00,6.00,2.00
2024-06-04T15:00:00Z,,,,97.00,,92.53,90.00,81.00,66.00,55.00,34.00,27.00,20.00,11.00,6.00,2.00
2024-06-04T16:00:00Z,,,,97.00,,92.53,90.00,81.00,64.83,55.00,34.00,27.00,20.00,11.00,6.00,2.00
2024-06-04T17:00:00Z,,,,97.00,,92.53,90.00,80.00,62.01,53.00,38.00,27.00,20.00,11.00,6.00,2.00
