timestamp,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2024-05-22T14:36:00Z,,,,,,,,,,,,,,,62.00,15.00
2024-05-22T15:06:00Z,,,,,,,,,,,,,,,57.92,15.00
2024-05-22T15:34:00Z,,,,,,,,,,,,,,,55.00,15.00
2024-05-22T16:51:00Z,,,,,,,,,,,,,,,55.00,15.00
2024-05-22T17:50:00Z,,,,,,,,,,,,,,,65.00,15.00
2024-05-22T18:12:00Z,,,,,,,,,,,,,,,51.99,15.00
2024-05-22T18:24:00Z,,,,,,,,,84.00,,,,,,51.99,15.00
2024-05-22T19:19:00Z,,,,,,,,,84.00,,,,,,44.00,15.00
2024-05-22T19:20:00Z,,,,,,,,,82.00,,,,,,44.00,15.00
2024-05-23T02:08:00Z,,,,,,,,,82.00,,,,,,44.00,15.00
2024-05-23T03:43:00Z,,,,,,,,,82.00,,,,,,51.00,15.00
2024-05-23T12:30:00Z,,,,,,,,,82.00,,,,,,47.00,15.00
2024-05-23T15:52:00Z,,,,,,,,,81.00,,,,,,47.00,15.00
2024-05-23T15:56:00Z,,,,,,,,,81.00,,,,,,47.00,15.00
2024-05-23T15:58:00Z,,,,,,,,,81.00,,,,,,43.00,15.00
2024-05-23T21:31:00Z,,,,,,,,,81.00,,,72.00,,,43.00,15.00
2024-05-24T01:10:00Z,,,,,,,,,82.00,,,72.00,,,43.00,15.00
2024-05-24T14:14:00Z,,,,,,,,,82.00,,,72.00,,,48.00,15.00
2024-05-24T15:44:00Z,,,,,,,,,82.00,,,72.00,,,41.41,15.00
2024-05-24T18:02:00Z,,,,,,,,,82.00,,,72.00,,,48.00,15.00
2024-05-24T20:55:00Z,,,,,,,,,77.52,,,72.00,,,48.00,15.00
2024-05-24T20:56:00Z,,,,,,,,,77.52,,,64.03,,,41.05,15.00
2024-05-24T21:35:00Z,,,,,,,,,77.52,,,64.03,,,41.05,8.00
2024-05-24T22:02:00Z,,,,,,,,,77.52,,,59.00,,,41.05,8.00
2024-05-25T15:51:00Z,,,,,,,,,77.52,,,59.00,,,38.00,8.00
2024-05-25T16:53:00Z,,,,,,,,,77.52,,,56.00,,,38.00,8.00
2024-05-25T18:54:00Z,,,,,,,,,77.52,,,56.00,,,38.00,10.00
2024-05-25T21:22:00Z,,,,,,,,,77.52,,,57.00,,,38.00,10.00
2024-05-25T21:30:00Z,,,,,,,,,77.52,,,59.00,,,38.00,10.00
2024-05-25T21:46:00Z,,,,,,,,,77.52,,,59.00,,,38.00,10.00
2024-05-26T16:42:00Z,,,,,,,,,75.00,,,59.00,,,38.00,10.00
2024-05-27T01:29:00Z,,,,,,,,,75.00,,,53.00,,,38.00,10.00
2024-05-27T14:13:00Z,,,,,,,,,75.00,,,53.00,,,32.00,10.00
2024-05-27T14:21:00Z,,,,,,,,,75.00,,,53.00,,,32.00,10.00
2024-05-27T14:22:00Z,,,,,,,,,75.00,,,53.00,,,32.00,10.00
2024-05-27T14:41:00Z,,,,,,,,,75.00,,,57.23,,,32.00,10.00
2024-05-27T16:07:00Z,,,,,,,,,75.00,,,57.23,,,32.00,5.62
2024-05-27T16:54:00Z,,,,,,,,,75.00,,,52.27,,,32.00,5.62
2024-05-27T18:50:00Z,,,,,,,,,77.00,,,52.27,,,32.00,5.62
2024-05-27T20:28:00Z,,,,,,,,,77.00,,,52.27,,,32.00,5.62
2024-05-28T03:41:00Z,,,,,,,,,77.00,,,52.27,,,31.00,5.62
2024-05-28T03:43:00Z,,,,,,,,,77.00,,,52.27,,,31.00,5.62
2024-05-28T03:44:00Z,,,,,,,,,77.00,,,52.27,,,31.00,5.62
2024-05-28T03:47:00Z,,,,,,,,,77.00,,,52.27,,,28.00,5.62
2024-05-28T15:26:00Z,,,,,,,,,77.00,,,52.27,,,34.00,5.62
2024-05-28T16:25:00Z,,,,,,,,,77.00,,,52.27,,,29.00,5.62
2024-05-28T20:39:00Z,,,,,,,,,77.00,,,52.27,,,29.57,5.62
2024-05-29T00:12:00Z,,,,,,,,,77.00,,,53.00,,,29.57,5.62
2024-05-29T13:51:00Z,,,,,,,,,74.00,,,53.00,,,29.57,5.62
2024-05-29T17:44:00Z,,,,,,,,,74.00,,,53.00,,,29.57,5.62
2024-05-29T17:46:00Z,,,,,,,,,74.00,,,49.00,,,29.57,5.62
2024-05-29T17:54:00Z,,,,,,,,,74.00,,,50.00,,,29.57,5.62
2024-05-30T03:31:00Z,,,,,,,,,74.00,,,49.00,,,29.57,5.62
2024-05-30T03:34:00Z,,,,,,,,,72.00,,,49.00,,,29.57,5.62
2024-05-30T14:40:00Z,,,,,,,,,72.00,,,49.00,,,24.00,5.62
2024-05-30T15:46:00Z,,,,,,,,,75.00,,,49.00,,,24.00,5.62
2024-05-30T19:45:00Z,,,,,,,,,75.00,,,49.00,,,24.00,5.62
2024-05-30T20:05:00Z,,,,,,,,,75.00,,,51.64,,,24.00,5.62
2024-05-31T12:19:00Z,,,,,,,,,75.00,,,51.64,,,24.00,3.23
2024-05-31T13:40:00Z,,,,,,,,,76.00,,,51.64,,,24.00,3.23
2024-05-31T13:41:00Z,,,,,,,,,76.00,,,54.00,,,24.00,3.23
2024-05-31T13:59:00Z,,,,,,,,,76.00,,,54.00,,,25.00,3.23
2024-05-31T17:01:00Z,,,,,,,,,76.00,,,54.00,,,25.00,3.23
2024-05-31T18:48:00Z,,,,,,,,,76.00,,,54.00,,,25.00,3.23
2024-05-31T18:53:00Z,,,,,,,,,76.00,,,52.00,,,25.00,3.23
2024-05-31T19:23:00Z,,,,,,,,,76.00,,,53.00,,,25.00,3.23
2024-05-31T19:24:00Z,,,,,,,,,76.00,,,53.00,,,28.00,3.23
2024-05-31T21:17:00Z,,,,,,,,,76.00,,,52.00,,,28.00,3.23
2024-05-31T22:44:00Z,,,,,,,,,76.00,,,52.00,43.00,,28.00,3.23
2024-05-31T23:09:00Z,,,,,,,,,76.00,,,52.36,43.00,,28.00,3.23
2024-06-01T00:03:00Z,,,,,,,,,76.00,,,47.00,43.00,,28.00,3.23
2024-06-01T01:47:00Z,,,,,,,,,76.00,,,54.00,43.00,,28.00,3.23
2024-06-01T12:20:00Z,,,,,,,,,76.00,,,45.00,43.00,,28.00,3.23
2024-06-01T12:27:00Z,,,,,,,,,72.00,,,45.00,43.00,,28.00,3.23
2024-06-01T13:10:00Z,,,,,,,,,72.00,62.00,47.00,41.00,43.00,,28.00,3.23
2024-06-01T13:22:00Z,,,,,,,,,72.00,62.00,47.00,41.00,43.00,,15.14,3.23
2024-06-01T13:24:00Z,,,,,,,,,72.00,62.00,47.00,41.00,43.00,17.00,15.14,3.23
2024-06-01T13:34:00Z,,,,,,,,,72.00,62.00,47.00,41.00,43.00,13.00,15.14,3.23
2024-06-01T13:39:00Z,,,,,,,,,72.00,62.00,40.00,41.00,43.00,13.00,15.14,3.23
2024-06-01T14:10:00Z,,,,,,,,,72.00,62.00,40.00,34.66,43.00,13.00,15.14,3.23
2024-06-01T14:31:00Z,,,,,,,,,72.00,62.00,45.00,34.66,43.00,13.00,15.14,3.23
2024-06-01T15:03:00Z,,,,,,,,,75.00,62.00,45.00,34.66,43.00,13.00,15.14,3.23
2024-06-01T15:32:00Z,,,,,,,,,75.00,62.00,47.00,34.66,43.00,13.00,15.14,3.23
2024-06-01T16:49:00Z,,,,,,,,,76.00,62.00,47.00,34.66,43.00,13.00,15.14,3.23
2024-06-01T16:50:00Z,,,,,,,,,76.00,65.00,47.00,34.66,43.00,13.00,15.14,3.23
2024-06-01T17:05:00Z,,,,,,,,,76.00,65.00,47.00,34.66,31.00,13.00,15.14,3.23
2024-06-01T17:49:00Z,,,,,,,,,76.00,65.00,55.75,34.66,31.00,13.00,15.14,3.23
2024-06-01T17:58:00Z,,,,,,,,,76.00,65.00,55.75,48.00,31.00,13.00,15.14,3.23
2024-06-01T18:13:00Z,,,,,,,,,76.00,65.00,55.75,48.00,35.00,13.00,15.14,3.23
2024-06-01T18:26:00Z,,,,,,,,,76.00,65.00,57.00,48.00,35.00,13.00,15.14,3.23
2024-06-01T18:40:00Z,,,,,,,,,81.00,65.00,57.00,48.00,35.00,13.00,15.14,3.23
2024-06-01T18:52:00Z,,,,,,,,,81.00,65.00,57.00,48.33,35.00,13.00,15.14,3.23
2024-06-01T18:54:00Z,,,,,,,,,81.00,65.00,64.00,48.33,35.00,13.00,15.14,3.23
2024-06-01T19:21:00Z,,,,,,,,,81.00,65.00,64.00,47.92,35.00,13.00,15.14,3.23
2024-06-01T20:17:00Z,,,,,,,,,85.00,65.00,64.00,47.92,35.00,13.00,15.14,3.23
