timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90,Above 95
2026-03-04T00:00:00Z,85.29,68.33,77.06,58.42,49.52,44.30,52.96,55.09,21.00,7.07,7.13
2026-03-05T00:00:00Z,85.29,68.33,51.66,40.96,28.70,25.33,20.00,18.10,21.00,7.07,3.00
2026-03-06T00:00:00Z,85.29,68.33,61.83,59.49,29.54,28.90,16.04,17.00,21.00,14.41,3.43
2026-03-07T00:00:00Z,85.29,69.00,61.97,28.55,30.80,28.90,23.06,17.00,21.00,4.00,4.00
2026-03-08T00:00:00Z,85.29,69.00,55.78,47.72,33.00,27.00,23.06,17.00,21.00,4.00,4.00
2026-03-09T00:00:00Z,74.64,69.00,60.54,45.58,39.53,26.50,14.16,17.00,21.00,4.00,4.00
2026-03-10T00:00:00Z,77.00,69.00,61.06,52.80,44.90,26.90,19.00,14.00,21.00,4.00,3.00
2026-03-11T00:00:00Z,77.00,69.00,63.00,56.15,40.76,32.16,20.78,14.00,21.00,5.00,3.00
2026-03-12T00:00:00Z,77.00,69.00,68.55,54.48,43.97,23.18,20.78,14.00,21.00,5.00,3.00
2026-03-13T00:00:00Z,77.00,69.00,66.94,55.19,43.97,27.52,20.78,14.00,21.00,5.00,3.00
2026-03-14T00:00:00Z,84.00,77.88,70.00,58.35,46.21,29.03,18.19,14.14,9.00,5.00,3.00
2026-03-15T00:00:00Z,85.78,85.70,70.00,45.85,57.08,43.51,11.00,19.35,9.00,3.00,3.00
2026-03-16T00:00:00Z,85.35,85.70,70.00,45.42,64.62,66.66,85.00,20.00,9.00,3.00,3.00
2026-03-17T00:00:00Z,91.90,85.70,79.23,45.42,55.07,66.66,21.00,18.29,9.00,3.00,3.00
2026-03-18T00:00:00Z,91.90,85.70,74.58,64.12,55.77,43.14,30.75,19.80,13.76,6.22,3.00
2026-03-19T00:00:00Z,97.56,86.56,80.62,75.89,60.90,41.29,36.57,21.70,11.62,7.51,5.00
2026-03-20T00:00:00Z,97.56,95.00,88.30,83.59,66.13,43.90,28.98,17.15,7.20,11.33,5.00
2026-03-21T00:00:00Z,97.56,96.00,88.11,90.16,66.55,42.60,17.97,9.03,5.02,11.33,5.00
2026-03-22T00:00:00Z,97.56,96.00,89.00,82.44,67.12,43.28,17.35,7.55,3.00,11.33,5.00
2026-03-23T00:00:00Z,97.56,96.94,89.38,82.00,70.47,43.83,17.00,9.30,3.00,11.33,5.00
2026-03-24T00:00:00Z,97.56,95.26,92.26,82.52,63.15,40.58,16.38,6.83,2.77,11.33,1.00
2026-03-25T00:00:00Z,99.00,95.12,88.29,68.54,42.98,26.94,12.54,5.68,2.29,4.00,1.00
2026-03-26T00:00:00Z,99.00,98.33,98.07,87.59,69.05,30.39,9.72,5.51,1.00,4.00,1.00
2026-03-27T00:00:00Z,99.00,98.33,94.84,92.00,67.74,27.41,5.46,1.00,1.00,4.00,1.00
2026-03-28T00:00:00Z,99.00,99.00,99.00,98.91,81.40,16.07,1.60,1.00,1.00,4.00,1.00
2026-03-29T00:00:00Z,99.00,99.00,99.00,99.00,51.71,1.31,1.00,1.00,1.00,4.00,1.00
2026-03-30T00:00:00Z,99.00,99.00,99.00,99.00,24.68,1.00,1.00,1.00,1.00,4.00,1.00
