timestamp,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 90
2024-07-06T00:00:00Z,,,,,83.39,,,61.36,,,44.43,,6.00
2024-07-07T00:00:00Z,,,,,76.57,,,52.18,,,34.00,,5.00
2024-07-08T00:00:00Z,,,,,70.00,,,50.17,,,32.64,,5.00
2024-07-09T00:00:00Z,,,,,75.94,,,50.00,,,31.21,,4.00
2024-07-10T00:00:00Z,,,,,73.63,,,50.29,,,36.41,,5.00
2024-07-11T00:00:00Z,,,,,71.00,,,47.98,,,28.67,,5.00
2024-07-12T00:00:00Z,,,,,74.46,,,51.20,,,33.36,,5.00
2024-07-13T00:00:00Z,,,,,75.18,,,47.61,,,30.79,,5.00
2024-07-14T00:00:00Z,,,,,75.69,,,54.02,,,30.79,,5.00
2024-07-15T00:00:00Z,,,,,75.69,,,57.11,,,39.58,,6.13
2024-07-16T00:00:00Z,,,,,79.82,,,59.31,,,41.96,,7.37
2024-07-17T00:00:00Z,,,,,77.18,,,63.00,,,41.96,,6.00
2024-07-18T00:00:00Z,,,,,82.82,,,63.00,,,38.00,,6.00
2024-07-19T00:00:00Z,,,,,83.00,,,63.92,,,36.05,,5.97
2024-07-20T00:00:00Z,,,,,88.00,,,67.50,,,34.06,,4.03
2024-07-21T00:00:00Z,,,,,89.00,,,69.18,,,31.61,,4.03
2024-07-22T00:00:00Z,,,,,89.00,,,69.08,,,38.00,,8.97
2024-07-23T00:00:00Z,,,,,88.50,,,68.80,,,24.93,,5.00
2024-07-24T00:00:00Z,,,,,81.17,,,63.37,48.00,,21.00,,1.00
2024-07-25T00:00:00Z,,,82.86,,68.85,54.85,49.11,59.59,37.68,16.42,11.98,9.70,1.44
2024-07-26T00:00:00Z,,,82.86,76.00,69.61,60.47,57.26,53.64,39.57,15.72,10.36,9.70,6.86
2024-07-27T00:00:00Z,,,91.98,82.74,73.78,63.82,57.76,54.92,42.51,27.77,17.81,9.00,6.86
2024-07-28T00:00:00Z,,,91.98,82.74,79.63,68.41,65.90,52.74,44.80,30.00,20.53,8.00,6.86
2024-07-29T00:00:00Z,,,93.00,84.00,78.00,65.28,57.92,54.00,44.80,29.00,15.18,8.00,6.86
2024-07-30T00:00:00Z,,,93.33,85.68,77.68,65.93,58.59,43.76,32.68,20.77,12.05,7.40,6.86
2024-07-31T00:00:00Z,,,93.33,87.86,80.71,67.00,57.88,45.34,36.69,20.12,8.07,3.14,1.56
2024-08-01T00:00:00Z,,,92.16,82.46,77.99,66.80,51.54,39.66,29.29,13.21,5.66,3.00,1.56
2024-08-02T00:00:00Z,97.07,95.00,84.70,86.77,73.74,62.66,47.49,31.33,17.01,7.52,2.94,2.82,1.00
2024-08-03T00:00:00Z,97.07,99.00,98.00,93.49,67.97,32.50,7.14,1.79,2.24,1.00,1.00,1.29,1.00
2024-08-04T00:00:00Z,97.07,99.00,98.00,99.00,85.20,10.82,1.00,1.00,1.00,1.00,1.00,1.29,1.00
2024-08-05T00:00:00Z,97.07,99.00,98.00,99.00,97.81,6.17,1.00,1.00,1.00,1.00,1.00,1.29,1.00
