timestamp,Above 35,Above 40,Above 45,Above 47,Above 50,Above 52,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 90
2025-08-30T00:00:00Z,,,73.30,,,,,45.79,,,25.71,,9.00
2025-08-31T00:00:00Z,,,72.13,,,,,51.98,,,25.09,,9.00
2025-09-01T00:00:00Z,,,75.45,,,,,53.88,,,27.54,,7.50
2025-09-02T00:00:00Z,,,75.79,,,,,54.81,,,26.23,,7.50
2025-09-03T00:00:00Z,,,72.00,,,,,52.43,,,24.82,,7.50
2025-09-04T00:00:00Z,,,72.81,,,,,54.00,,,23.23,,7.50
2025-09-05T00:00:00Z,,,77.25,,,,,53.32,,,23.22,23.00,7.50
2025-09-06T00:00:00Z,,,77.12,,,,,53.80,38.00,30.21,21.27,15.18,5.91
2025-09-07T00:00:00Z,,,76.91,,,,,52.04,41.20,30.21,20.20,15.18,7.00
2025-09-08T00:00:00Z,,,78.07,,,,,32.87,45.62,30.89,20.11,13.90,6.77
2025-09-09T00:00:00Z,,,76.68,,,,,62.91,47.00,29.67,31.16,13.05,4.90
2025-09-10T00:00:00Z,,,82.05,,,,,52.30,47.00,28.48,34.00,12.08,4.90
2025-09-11T00:00:00Z,,,78.99,,,,,47.08,34.00,23.55,13.46,6.56,4.90
2025-09-12T00:00:00Z,,,78.85,,,,,49.98,44.00,26.33,21.86,9.48,4.94
2025-09-13T00:00:00Z,,,77.65,,,,,49.62,37.32,25.03,14.97,8.20,5.74
2025-09-14T00:00:00Z,,,76.34,,,,,50.63,43.96,28.12,13.80,9.99,5.74
2025-09-15T00:00:00Z,,,77.76,,,,,48.43,34.90,33.00,21.03,12.37,5.74
2025-09-16T00:00:00Z,,,69.79,,,,,50.51,34.01,25.74,22.71,13.94,6.85
2025-09-17T00:00:00Z,,,76.83,,,,,47.54,39.72,27.17,23.09,13.94,6.85
2025-09-18T00:00:00Z,,,75.62,,,,,48.81,40.59,25.69,16.18,10.27,6.85
2025-09-19T00:00:00Z,,,70.65,,,,,45.82,33.49,20.99,16.39,8.92,6.85
2025-09-20T00:00:00Z,,,68.03,,,,,47.00,35.69,21.00,18.65,10.00,6.85
2025-09-21T00:00:00Z,,,71.73,,,,,51.75,35.39,21.00,14.81,10.00,6.85
2025-09-22T00:00:00Z,,,74.51,,,,,53.35,33.40,29.27,20.22,9.56,2.00
2025-09-23T00:00:00Z,,,74.61,,,,,51.51,32.90,27.55,14.16,7.00,2.00
2025-09-24T00:00:00Z,,,71.27,,,,65.00,44.98,37.93,26.00,13.08,7.35,1.29
2025-09-25T00:00:00Z,,80.00,79.08,,66.30,,54.95,45.66,37.93,24.00,10.55,5.00,1.00
2025-09-26T00:00:00Z,,82.96,76.31,,64.00,,53.16,51.37,30.29,19.23,16.53,9.00,4.12
2025-09-27T00:00:00Z,,84.32,79.41,,65.81,,58.82,45.33,30.29,22.00,13.00,9.00,4.12
2025-09-28T00:00:00Z,,84.00,78.91,,63.79,,59.29,45.40,35.81,26.40,19.76,11.95,4.12
2025-09-29T00:00:00Z,,84.40,80.00,,66.40,,56.85,50.04,34.93,26.03,20.00,12.18,5.00
2025-09-30T00:00:00Z,,80.31,75.24,,64.97,,54.11,45.23,29.48,20.53,15.14,10.53,5.00
2025-10-01T00:00:00Z,,79.68,74.00,,66.11,,51.57,39.16,26.38,21.10,8.91,6.54,5.00
2025-10-02T00:00:00Z,,76.59,73.57,,61.59,,53.59,38.09,29.15,19.90,14.75,9.00,5.00
2025-10-03T00:00:00Z,,73.98,66.65,,54.39,,47.62,37.64,24.47,14.00,12.53,9.00,3.56
2025-10-04T00:00:00Z,,71.53,66.24,,68.77,,46.00,37.55,24.19,17.62,8.24,4.30,3.56
2025-10-05T00:00:00Z,,76.56,65.22,,59.86,,49.84,38.47,30.19,16.89,10.77,4.84,6.01
2025-10-06T00:00:00Z,,76.37,64.59,,58.36,,45.92,37.18,28.46,16.41,13.08,7.67,6.01
2025-10-07T00:00:00Z,89.00,74.59,70.87,,60.55,,47.79,36.54,24.24,16.01,8.84,9.00,1.00
2025-10-08T00:00:00Z,87.89,78.56,77.88,,48.24,,25.17,9.53,6.18,8.71,1.75,1.04,4.00
2025-10-09T00:00:00Z,98.21,94.91,84.57,,44.12,,9.27,5.59,1.90,1.00,1.00,1.00,4.00
2025-10-10T00:00:00Z,99.00,98.77,95.06,90.19,66.08,37.37,16.47,2.70,1.00,1.00,1.00,1.00,4.00
2025-10-11T00:00:00Z,99.00,99.00,98.89,97.12,91.80,76.17,31.73,3.80,1.00,1.00,1.00,1.00,4.00
2025-10-12T00:00:00Z,99.00,99.00,99.00,99.00,98.58,96.29,73.28,3.37,1.00,1.00,1.00,1.00,4.00
2025-10-13T00:00:00Z,99.00,99.00,99.00,99.00,99.00,98.88,88.13,1.15,1.21,1.00,1.00,1.00,4.00
