timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2024-06-22T00:00:00Z,83.25,,,58.92,,,42.03,,,
2024-06-23T00:00:00Z,83.25,,,65.00,,,47.00,,,
2024-06-24T00:00:00Z,88.00,,,61.25,,,48.00,,,15.00
2024-06-25T00:00:00Z,88.00,,,64.21,,,55.42,,,15.00
2024-06-26T00:00:00Z,88.00,,,71.80,,,52.89,,,15.00
2024-06-27T00:00:00Z,88.00,,,69.50,,,53.73,,,15.00
2024-06-28T00:00:00Z,88.00,,,71.04,,,58.08,,,13.00
2024-06-29T00:00:00Z,88.53,,,74.00,,,60.00,,,14.00
2024-06-30T00:00:00Z,88.53,,,70.00,,,60.73,,,14.00
2024-07-01T00:00:00Z,88.53,,,69.26,,,54.00,,,14.00
2024-07-02T00:00:00Z,90.00,,,74.92,,,59.62,,,8.80
2024-07-03T00:00:00Z,90.00,,,78.91,,,57.48,,,9.71
2024-07-04T00:00:00Z,90.00,,,74.00,,,55.00,,,12.00
2024-07-05T00:00:00Z,90.00,,,81.00,,,58.66,,,11.87
2024-07-06T00:00:00Z,89.78,,,76.88,,,56.50,,,11.87
2024-07-07T00:00:00Z,90.00,,,76.00,,,53.88,,,11.87
2024-07-08T00:00:00Z,90.00,,,79.93,,,51.92,,,4.00
2024-07-09T00:00:00Z,91.33,,,73.04,,51.00,39.48,,,3.00
2024-07-10T00:00:00Z,91.33,,82.00,75.60,62.44,48.93,37.27,16.90,7.00,6.00
2024-07-11T00:00:00Z,98.02,,82.00,97.26,76.30,66.55,46.54,17.28,7.37,3.64
2024-07-12T00:00:00Z,99.00,,82.00,96.36,89.55,75.22,59.86,29.96,12.03,3.59
2024-07-13T00:00:00Z,99.00,,82.00,92.88,89.55,87.35,69.60,34.10,19.23,2.59
2024-07-14T00:00:00Z,99.00,,82.00,97.00,89.55,85.50,69.06,34.97,6.33,2.00
2024-07-15T00:00:00Z,99.00,98.83,97.00,97.00,89.55,88.00,64.24,36.68,8.00,2.00
2024-07-16T00:00:00Z,99.00,98.83,99.00,98.70,98.88,91.15,79.11,48.99,21.82,3.73
2024-07-17T00:00:00Z,99.00,98.83,99.00,99.00,98.91,93.12,78.24,44.63,17.22,5.00
2024-07-18T00:00:00Z,99.00,98.83,99.00,99.00,98.00,93.69,71.94,16.62,1.08,5.00
2024-07-19T00:00:00Z,99.00,98.83,99.00,99.00,98.00,98.26,82.24,6.91,1.00,5.00
2024-07-20T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,89.40,3.52,1.00,1.00
2024-07-21T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,97.78,3.76,1.00,1.00
2024-07-22T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.36,1.92,1.00,1.00
