timestamp,Above 60,Above 65,Above 70,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92,Above 95,Above 97
2025-11-21T00:00:00Z,,,,,,99.00,96.53,95.04,74.53,46.60,5.00,
2025-11-22T00:00:00Z,,,,,,99.00,96.53,95.04,75.33,46.42,10.67,2.91
2025-11-23T00:00:00Z,,,,,,99.00,96.53,97.00,81.83,54.45,14.03,3.47
2025-11-24T00:00:00Z,,,,,,99.00,95.55,97.00,84.14,63.18,15.33,3.52
2025-11-25T00:00:00Z,,,,,,95.00,95.55,94.00,85.09,62.18,13.96,1.67
2025-11-26T00:00:00Z,,,,,,95.00,95.55,92.75,85.94,66.41,15.75,1.00
2025-11-27T00:00:00Z,,,,99.00,,95.00,95.55,97.00,95.94,88.48,13.66,1.00
2025-11-28T00:00:00Z,,,,99.00,,99.00,95.55,97.00,94.96,92.63,10.15,1.00
2025-11-29T00:00:00Z,,,,99.00,99.00,99.00,95.55,98.43,98.57,94.25,12.83,1.00
2025-11-30T00:00:00Z,,,,99.00,99.00,99.00,95.55,99.00,98.87,96.99,5.83,1.00
2025-12-01T00:00:00Z,,,,99.00,99.00,99.00,95.55,99.00,98.94,97.16,6.86,1.00
