timestamp,Above 45,Above 60,Above 75,Above 80,Above 82,Above 85,Above 87,Above 88,Above 89,Above 90,Above 91,Above 92,Above 93,Above 94,Above 95
2025-03-01T00:00:00Z,97.90,,,,,,,,,,,,,,
2025-03-02T00:00:00Z,97.90,96.00,,,,,,,,,,,,,
2025-03-03T00:00:00Z,97.90,66.00,,,,,,,,,,,,,
2025-03-04T00:00:00Z,97.90,66.00,91.00,,,,,,,10.00,,,,,
2025-03-05T00:00:00Z,97.90,70.57,59.75,,,,,,,15.57,,,,,
2025-03-06T00:00:00Z,97.90,76.57,63.13,,,,,,,31.20,,,,,
2025-03-07T00:00:00Z,97.90,79.62,63.09,,,,,,,16.00,,,,,
2025-03-08T00:00:00Z,97.90,86.00,63.09,,,,,,,19.00,,,,,
2025-03-09T00:00:00Z,97.90,86.00,61.81,,,,,,,19.00,,,,,
2025-03-10T00:00:00Z,97.00,86.00,72.00,,,,,,,16.83,,,,,
2025-03-11T00:00:00Z,97.00,82.00,67.46,,,,,,,16.83,,,,,
2025-03-12T00:00:00Z,97.00,90.00,58.80,,,,,,,16.00,,,,,
2025-03-13T00:00:00Z,96.02,90.00,61.62,,,,,,,16.00,,,,,
2025-03-14T00:00:00Z,96.02,91.32,68.80,56.80,,,,,,16.00,,,,,
2025-03-15T00:00:00Z,96.02,91.32,80.20,63.20,,,,,,18.10,,,,,
2025-03-16T00:00:00Z,96.02,96.00,79.00,66.73,,,,,,33.26,,,,,
2025-03-17T00:00:00Z,96.02,96.00,76.04,51.55,,,,,,33.26,,,,,
2025-03-18T00:00:00Z,96.02,96.00,75.45,65.60,,,,,,34.15,,,,,
2025-03-19T00:00:00Z,96.02,96.00,75.45,65.68,,,,,,28.90,,,,,
2025-03-20T00:00:00Z,96.02,90.70,78.75,65.37,,45.00,,,,37.21,,,,,
2025-03-21T00:00:00Z,96.02,93.00,82.00,64.00,,39.00,,,,28.00,,,,,
2025-03-22T00:00:00Z,96.02,93.00,81.14,65.56,,45.72,,,,27.76,,,,,
2025-03-23T00:00:00Z,96.02,92.00,81.00,55.21,,30.93,,,,17.48,,,,,
2025-03-24T00:00:00Z,96.02,91.95,79.73,62.35,,36.33,,,,17.48,,,,,
2025-03-25T00:00:00Z,96.02,91.52,76.52,65.01,,39.16,,,,17.97,,,,,
2025-03-26T00:00:00Z,96.02,95.00,84.18,73.21,,42.41,,,,17.99,,,,,
2025-03-27T00:00:00Z,96.02,95.00,78.00,70.68,,39.30,,,,17.01,,,,,
2025-03-28T00:00:00Z,96.02,93.00,78.00,66.76,,42.23,,,,16.30,,,,,
2025-03-29T00:00:00Z,99.00,96.90,93.28,86.62,,51.48,,,,21.19,,,,,
2025-03-30T00:00:00Z,99.00,96.90,97.30,88.70,87.00,71.21,48.70,,,28.32,,19.09,,,
2025-03-31T00:00:00Z,99.00,96.90,96.00,91.19,88.00,69.20,48.97,,,24.64,,19.09,,,
2025-04-01T00:00:00Z,99.00,97.00,99.00,96.42,88.00,69.78,54.13,,,16.39,,16.65,,,
2025-04-02T00:00:00Z,99.00,97.00,99.00,96.42,88.00,67.63,49.00,,,18.73,,5.00,,,
2025-04-03T00:00:00Z,99.00,97.00,96.00,91.33,89.77,72.38,55.12,,,20.99,,5.00,,,
2025-04-04T00:00:00Z,99.00,97.00,96.00,93.97,89.77,75.85,60.55,,,23.39,,6.59,,,
2025-04-05T00:00:00Z,99.00,97.00,96.00,96.50,92.00,80.85,61.90,,,26.94,,14.85,,,
2025-04-06T00:00:00Z,99.00,97.00,96.00,96.50,82.59,77.64,45.78,,,17.42,,6.00,,,
2025-04-07T00:00:00Z,99.00,97.00,98.00,97.00,82.59,78.97,54.58,,,23.46,,5.46,,,
2025-04-08T00:00:00Z,99.00,97.00,98.00,96.75,87.55,69.56,53.85,,,18.45,,6.97,,,
2025-04-09T00:00:00Z,99.00,97.00,97.69,95.78,91.55,68.00,49.13,,,20.07,,6.27,,,
2025-04-10T00:00:00Z,99.00,97.00,97.69,95.78,90.16,84.97,65.82,,,25.24,,9.21,,,
2025-04-11T00:00:00Z,99.00,99.00,99.00,98.27,96.40,91.13,91.42,71.00,54.00,82.96,75.72,57.20,28.93,19.03,
2025-04-12T00:00:00Z,99.00,99.00,99.00,99.00,98.97,99.00,98.79,71.00,54.00,97.06,95.94,86.80,77.50,46.02,
2025-04-13T00:00:00Z,99.00,99.00,99.00,99.00,98.97,99.00,97.67,71.00,91.93,99.00,96.00,93.62,71.78,2.84,
2025-04-14T00:00:00Z,99.00,99.00,99.00,99.00,98.97,99.00,97.67,71.00,91.93,99.00,96.00,98.31,92.04,2.92,
