timestamp,Above 45,Above 60,Above 72,Above 75,Above 77,Above 80,Above 82,Above 85,Above 87,Above 90
2025-12-12T00:00:00Z,,95.91,,93.03,,,,,,
2025-12-13T00:00:00Z,,95.91,,94.00,,,,,,27.00
2025-12-14T00:00:00Z,,95.91,,91.02,,,,,,26.00
2025-12-15T00:00:00Z,,95.91,,91.02,,,,75.00,,26.00
2025-12-16T00:00:00Z,,95.91,,93.89,,88.40,,75.00,,26.87
2025-12-17T00:00:00Z,,95.91,,93.89,,81.21,,53.55,,21.89
2025-12-18T00:00:00Z,,95.91,,93.89,,84.00,,59.21,,24.30
2025-12-19T00:00:00Z,,95.91,,93.89,,85.16,,63.78,,24.30
2025-12-20T00:00:00Z,,95.91,,93.89,,85.16,,65.43,,21.61
2025-12-21T00:00:00Z,,92.23,,93.89,,83.00,,59.35,,27.32
2025-12-22T00:00:00Z,,92.23,,93.89,,81.14,,52.70,,22.64
2025-12-23T00:00:00Z,,94.29,,88.30,,73.27,,35.68,,21.09
2025-12-24T00:00:00Z,,94.30,,82.71,,66.66,,30.48,,10.00
2025-12-25T00:00:00Z,,98.00,,82.08,,68.10,,32.87,,4.49
2025-12-26T00:00:00Z,,98.00,,79.00,,69.81,,32.41,,5.00
2025-12-27T00:00:00Z,,98.00,,81.55,,63.00,,34.16,,10.57
2025-12-28T00:00:00Z,,99.00,,85.25,,66.44,,33.32,,6.43
2025-12-29T00:00:00Z,,99.00,,85.01,,69.20,,35.84,,5.11
2025-12-30T00:00:00Z,,99.00,,87.37,75.28,60.41,43.33,19.59,10.71,6.72
2025-12-31T00:00:00Z,99.00,99.00,93.88,90.75,83.25,68.22,52.17,30.15,11.60,2.93
2026-01-01T00:00:00Z,99.00,99.00,96.78,93.71,84.22,62.62,38.09,22.25,7.82,1.77
2026-01-02T00:00:00Z,99.00,99.00,98.00,94.57,92.37,75.87,51.43,25.62,3.35,1.00
2026-01-03T00:00:00Z,99.00,99.00,99.00,98.82,95.87,93.11,69.22,25.70,2.07,1.00
2026-01-04T00:00:00Z,99.00,99.00,99.00,99.00,98.22,94.26,93.68,60.22,2.53,1.00
2026-01-05T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.39,90.54,2.47,1.00,1.00
