timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2026-01-13T00:00:00Z,,,,58.98,,,,5.00
2026-01-14T00:00:00Z,90.00,,,55.00,,,19.26,5.00
2026-01-15T00:00:00Z,93.00,,,55.50,,,13.00,5.00
2026-01-16T00:00:00Z,93.00,,,55.50,41.96,,13.00,5.00
2026-01-17T00:00:00Z,93.00,,78.00,54.90,41.96,,13.00,5.00
2026-01-18T00:00:00Z,93.00,,78.00,54.90,41.96,,12.05,5.00
2026-01-20T00:00:00Z,93.00,,78.00,54.00,41.96,,11.16,5.00
2026-01-21T00:00:00Z,93.00,,73.00,53.00,41.96,,10.00,5.00
2026-01-22T00:00:00Z,90.00,85.00,73.00,58.00,41.96,,10.00,5.00
2026-01-23T00:00:00Z,89.28,83.38,73.00,54.62,40.71,23.00,10.00,5.00
2026-01-24T00:00:00Z,87.68,83.38,70.75,54.62,40.71,23.00,13.83,5.00
2026-01-25T00:00:00Z,92.56,83.38,69.00,56.00,40.71,23.00,14.00,5.00
2026-01-26T00:00:00Z,92.56,83.38,69.00,56.00,40.71,23.00,8.00,5.00
2026-01-27T00:00:00Z,89.00,83.38,69.00,49.07,36.20,23.00,11.98,5.00
2026-01-28T00:00:00Z,89.00,83.38,71.00,50.19,35.22,20.00,8.00,5.00
2026-01-29T00:00:00Z,91.96,84.20,71.18,54.21,30.06,17.79,12.00,5.00
2026-01-30T00:00:00Z,86.91,84.20,71.18,36.29,23.61,26.34,8.18,5.00
2026-01-31T00:00:00Z,92.50,79.00,62.22,47.91,29.51,13.39,6.84,5.00
2026-02-01T00:00:00Z,82.69,79.00,65.58,42.94,22.00,11.00,5.95,5.00
2026-02-02T00:00:00Z,85.61,74.54,62.02,44.59,28.45,11.00,5.56,5.00
2026-02-03T00:00:00Z,85.00,69.98,55.61,38.75,24.33,15.02,4.34,5.00
2026-02-04T00:00:00Z,83.55,63.48,47.94,27.69,14.67,6.17,5.37,1.00
2026-02-05T00:00:00Z,88.91,72.20,44.92,21.98,9.36,6.83,4.63,1.00
2026-02-06T00:00:00Z,92.26,80.95,58.58,24.44,8.20,3.96,1.24,1.00
2026-02-07T00:00:00Z,98.55,93.06,79.92,23.86,2.91,1.00,1.24,1.00
2026-02-08T00:00:00Z,99.00,98.17,93.03,35.13,2.18,1.00,1.00,1.00
2026-02-09T00:00:00Z,99.00,97.47,95.06,14.38,2.66,1.00,1.00,1.00
