timestamp,Above 45,Above 60,Above 75,Above 80,Above 85,Above 87,Above 90,Above 92,Above 95
2024-10-25T00:00:00Z,,82.02,69.57,54.77,44.12,,33.02,,
2024-10-26T00:00:00Z,,87.81,67.27,56.24,44.48,,31.68,,
2024-10-27T00:00:00Z,90.23,87.81,62.70,53.88,43.64,,23.03,,
2024-10-28T00:00:00Z,90.23,76.00,58.42,50.90,37.00,,23.03,,
2024-10-29T00:00:00Z,87.00,76.05,51.49,43.79,28.00,,23.07,,
2024-10-30T00:00:00Z,90.93,79.16,56.69,46.91,43.23,,21.87,,
2024-10-31T00:00:00Z,92.00,82.67,62.23,54.25,42.08,,28.84,,
2024-11-01T00:00:00Z,92.00,90.00,73.49,65.77,44.90,,34.52,,
2024-11-02T00:00:00Z,92.00,86.11,76.35,67.15,46.87,,33.72,,
2024-11-03T00:00:00Z,96.00,84.08,70.71,64.33,45.23,,30.74,,
2024-11-04T00:00:00Z,96.00,85.03,70.71,64.33,45.23,,30.74,,
2024-11-05T00:00:00Z,91.22,86.85,72.72,67.87,52.12,,37.49,,
2024-11-06T00:00:00Z,93.66,94.00,73.26,70.18,62.33,,43.15,,
2024-11-07T00:00:00Z,94.40,90.66,77.94,69.92,57.40,,49.76,,44.31
2024-11-08T00:00:00Z,95.07,93.14,86.93,78.79,70.06,,47.78,,16.27
2024-11-09T00:00:00Z,93.27,91.16,84.26,79.23,67.12,,43.32,,14.93
2024-11-10T00:00:00Z,97.00,89.00,86.85,78.72,72.29,,39.54,,16.69
2024-11-11T00:00:00Z,98.93,89.78,90.76,83.56,77.21,,54.30,,21.95
2024-11-12T00:00:00Z,96.41,93.62,87.14,81.51,74.20,,53.45,,22.39
2024-11-13T00:00:00Z,95.57,88.98,85.99,82.99,74.17,,52.38,,18.99
2024-11-14T00:00:00Z,96.70,95.74,81.25,78.33,68.96,,46.00,28.73,14.22
2024-11-15T00:00:00Z,93.66,92.80,81.81,73.32,67.78,,46.22,31.27,20.33
2024-11-16T00:00:00Z,96.10,93.55,82.32,76.72,67.58,,46.61,34.67,20.44
2024-11-17T00:00:00Z,97.00,94.14,87.11,75.85,69.61,,43.61,32.57,17.97
2024-11-18T00:00:00Z,97.00,96.82,84.59,79.75,70.94,,48.00,37.40,16.60
2024-11-19T00:00:00Z,98.85,96.72,90.12,81.75,71.31,,49.69,34.75,14.89
2024-11-20T00:00:00Z,99.00,98.90,97.32,92.91,86.79,85.86,65.93,42.82,16.50
2024-11-21T00:00:00Z,99.00,99.00,99.00,96.16,95.68,85.27,72.87,28.21,3.78
2024-11-22T00:00:00Z,99.00,99.00,98.33,98.16,95.39,91.77,51.90,11.33,1.95
2024-11-23T00:00:00Z,99.00,99.00,98.97,98.66,96.81,90.54,15.43,2.77,1.05
2024-11-24T00:00:00Z,99.00,99.00,98.94,98.50,98.57,94.84,6.57,1.57,1.00
2024-11-25T00:00:00Z,99.00,99.00,98.94,98.54,98.69,98.55,8.78,1.84,1.00
