timestamp,Above 45,Above 50,Above 52,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2024-12-21T00:00:00Z,90.00,,,,50.00,,,36.00,,,
2024-12-22T00:00:00Z,82.70,,,,53.85,,,35.52,,,
2024-12-23T00:00:00Z,64.19,,,,72.76,,,47.67,,,
2024-12-24T00:00:00Z,82.59,,,,66.35,,,40.68,,,5.28
2024-12-25T00:00:00Z,81.94,,,,68.02,,,39.47,,,5.42
2024-12-26T00:00:00Z,79.00,,,,72.84,,,35.16,,,5.42
2024-12-27T00:00:00Z,78.00,,,,63.33,,,37.99,,,11.00
2024-12-28T00:00:00Z,78.00,,,,71.52,,,38.40,,,8.21
2024-12-29T00:00:00Z,84.23,,,,65.50,,,43.05,,,5.83
2024-12-30T00:00:00Z,85.00,74.00,,70.30,68.50,64.01,58.23,52.10,,,5.83
2024-12-31T00:00:00Z,89.25,88.00,,70.30,68.50,64.01,53.82,52.80,27.53,,7.00
2025-01-01T00:00:00Z,91.85,88.00,,84.65,75.05,70.55,58.91,56.38,27.47,20.00,7.00
2025-01-02T00:00:00Z,96.45,89.00,,84.65,78.00,70.55,63.87,53.40,38.10,14.59,7.21
2025-01-03T00:00:00Z,91.74,89.00,,84.65,76.22,70.55,71.20,62.15,40.94,12.87,6.00
2025-01-04T00:00:00Z,91.74,89.00,,84.65,76.11,70.55,72.95,53.20,29.69,12.87,6.00
2025-01-05T00:00:00Z,90.48,89.00,,91.00,74.00,70.55,57.70,51.21,29.29,14.00,6.00
2025-01-06T00:00:00Z,88.56,89.00,,77.00,78.01,70.55,57.70,49.83,27.01,14.10,6.00
2025-01-07T00:00:00Z,96.40,89.00,,77.00,76.84,72.00,68.82,51.40,31.12,19.98,5.02
2025-01-08T00:00:00Z,96.91,96.42,,93.14,85.39,73.58,77.68,71.11,50.99,27.69,10.84
2025-01-09T00:00:00Z,97.00,96.42,,93.14,91.43,73.58,81.00,76.26,59.41,34.65,17.85
2025-01-10T00:00:00Z,96.83,96.42,,93.14,88.00,85.00,78.00,70.70,59.26,40.20,12.02
2025-01-11T00:00:00Z,96.01,96.42,,93.14,88.00,85.00,83.38,69.92,55.90,36.00,9.61
2025-01-12T00:00:00Z,96.01,96.42,,92.70,89.36,79.00,84.00,69.35,48.11,28.66,7.33
2025-01-13T00:00:00Z,97.00,95.31,,92.22,86.79,80.29,78.31,65.91,55.11,30.58,10.04
2025-01-14T00:00:00Z,97.00,95.41,,94.23,86.00,83.58,80.01,70.14,59.02,35.59,10.61
2025-01-15T00:00:00Z,98.54,97.97,,91.11,85.51,82.06,75.00,58.49,45.54,24.08,7.48
2025-01-16T00:00:00Z,89.97,85.41,,65.32,34.96,15.90,8.09,43.46,20.54,13.75,3.74
2025-01-17T00:00:00Z,98.59,96.07,,69.50,19.53,1.95,1.15,1.00,1.00,1.00,3.74
2025-01-18T00:00:00Z,98.79,96.89,86.33,25.00,1.73,1.00,1.00,1.00,1.00,1.00,1.00
2025-01-19T00:00:00Z,98.76,97.17,73.53,6.06,1.13,1.00,1.00,1.00,1.00,1.00,1.00
2025-01-20T00:00:00Z,99.00,98.30,72.30,1.27,1.00,1.00,1.00,1.00,1.00,1.00,1.00
