timestamp,Above 45,Above 60,Above 62,Above 65,Above 67,Above 70,Above 72,Above 75,Above 80,Above 85,Above 90
2026-01-14T00:00:00Z,89.45,65.76,,,,,,47.50,,,10.00
2026-01-15T00:00:00Z,82.16,61.84,,47.00,,36.00,,27.24,16.00,,7.63
2026-01-16T00:00:00Z,85.00,60.72,,48.00,,36.00,,25.00,16.49,,9.90
2026-01-17T00:00:00Z,81.77,60.72,,51.84,,36.00,,25.00,18.71,15.00,7.52
2026-01-18T00:00:00Z,81.77,66.00,,53.00,,39.83,,32.00,22.16,7.87,7.52
2026-01-19T00:00:00Z,89.62,88.73,,74.00,,67.29,,68.34,49.75,25.33,11.42
2026-01-20T00:00:00Z,89.62,83.50,,84.00,,68.38,,65.26,48.70,25.00,14.27
2026-01-21T00:00:00Z,93.00,86.52,,80.88,,68.00,,52.21,43.44,19.74,12.10
2026-01-22T00:00:00Z,94.18,83.00,,79.44,,61.41,,49.34,32.19,19.74,12.10
2026-01-23T00:00:00Z,89.99,85.64,,72.75,,66.93,,55.08,41.39,24.29,12.40
2026-01-24T00:00:00Z,89.99,67.71,,74.00,,55.31,,50.75,40.87,25.13,9.00
2026-01-25T00:00:00Z,82.00,76.11,,72.30,,65.47,,56.40,40.96,12.24,8.97
2026-01-26T00:00:00Z,59.80,60.95,,67.27,,60.19,,50.88,35.00,22.57,9.98
2026-01-27T00:00:00Z,87.00,83.00,,69.41,,64.67,,53.10,35.30,24.82,13.86
2026-01-28T00:00:00Z,92.44,82.69,,62.97,,64.78,,52.28,35.55,26.31,11.66
2026-01-29T00:00:00Z,92.38,65.50,,66.33,,58.71,,38.90,36.65,15.51,11.39
2026-01-30T00:00:00Z,94.98,93.45,,86.00,,74.41,,61.47,40.67,26.94,11.12
2026-01-31T00:00:00Z,95.56,91.24,,84.31,,75.48,,62.93,43.03,28.28,10.50
2026-02-01T00:00:00Z,94.41,83.42,,84.41,,75.01,,62.63,47.09,27.80,21.53
2026-02-02T00:00:00Z,94.41,85.73,,85.58,,74.43,,67.14,51.07,37.33,19.12
2026-02-03T00:00:00Z,94.53,86.67,,81.10,,74.60,,60.49,45.10,27.88,18.92
2026-02-04T00:00:00Z,93.69,86.63,,77.92,,67.36,,56.52,42.66,26.59,12.02
2026-02-05T00:00:00Z,97.00,85.06,,78.73,,75.31,,64.07,39.36,28.62,10.60
2026-02-06T00:00:00Z,97.00,95.97,,88.24,,81.21,,66.28,48.92,30.57,15.00
2026-02-07T00:00:00Z,99.00,96.27,,91.68,,78.06,,68.79,45.86,23.86,8.10
2026-02-08T00:00:00Z,99.00,96.27,,90.32,,82.71,,71.10,50.11,26.08,10.56
2026-02-09T00:00:00Z,98.00,94.01,,89.00,,79.60,,62.60,43.89,23.76,9.44
2026-02-10T00:00:00Z,98.57,94.35,,77.70,,47.38,,16.79,6.55,4.54,3.94
2026-02-11T00:00:00Z,99.00,95.07,97.21,87.22,79.96,41.73,24.53,7.19,3.45,1.00,1.00
2026-02-12T00:00:00Z,99.00,95.01,87.83,70.10,49.87,22.89,10.56,2.07,2.57,1.00,1.00
2026-02-13T00:00:00Z,99.00,92.19,82.44,31.87,11.53,2.00,1.01,1.00,1.00,1.00,1.00
2026-02-14T00:00:00Z,99.00,94.66,87.46,27.07,2.52,1.02,1.00,1.00,1.00,1.00,1.00
2026-02-15T00:00:00Z,99.00,97.06,71.94,3.31,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2026-02-16T00:00:00Z,99.00,98.02,26.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
